Belfast Stockman's Lane,,,,,,,,,,,,,
Nitric oxide,Status,Nitrogen dioxide,Status,Nitrogen oxides as nitrogen dioxide,Status,PM10 particulate matter (Hourly measured),Status,Modelled Wind Direction,Status,Modelled Wind Speed,Status,Modelled Temperature,Status
30,V µg/m³,32,V µg/m³,77,V µg/m³,14,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
79,V µg/m³,46,V µg/m³,167,V µg/m³,28,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
43,V µg/m³,33,V µg/m³,100,V µg/m³,13,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
18,V µg/m³,19,V µg/m³,46,V µg/m³,14,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
45,V µg/m³,28,V µg/m³,97,V µg/m³,16,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
45,V µg/m³,35,V µg/m³,105,V µg/m³,22,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
30,V µg/m³,29,V µg/m³,75,V µg/m³,13,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
15,V µg/m³,21,V µg/m³,43,V µg/m³,16,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
30,V µg/m³,30,V µg/m³,75,V µg/m³,14,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
34,V µg/m³,27,V µg/m³,80,V µg/m³,12,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
20,V µg/m³,24,V µg/m³,54,V µg/m³,15,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
24,V µg/m³,23,V µg/m³,59,V µg/m³,15,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
33,V µg/m³,32,V µg/m³,82,V µg/m³,15,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
17,V µg/m³,20,V µg/m³,45,V µg/m³,6,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
37,V µg/m³,30,V µg/m³,86,V µg/m³,11,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
80,V µg/m³,54,V µg/m³,177,V µg/m³,13,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
53,V µg/m³,41,V µg/m³,121,V µg/m³,11,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
49,V µg/m³,42,V µg/m³,117,V µg/m³,12,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
57,V µg/m³,46,V µg/m³,134,V µg/m³,14,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
197,V µg/m³,79,V µg/m³,382,V µg/m³,33,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
73,V µg/m³,48,V µg/m³,159,V µg/m³,18,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
